no,plot,block,position,watering,seedmix,brickType,brickRatio,acid,grassMass,forbMass,vegCov4,vegCov6,vegCov8,vegCov10,vegCov11,vegCov13,specPres,specAbs,conf.low,conf.high,biomass,grassRatio,estRate,f.watering
45,C05,C,o,3,Robust,Clean,30,Acid,2.6,12.5,19.2,45.6,52.1,67.1,72.4,64.3,12,8,45,45,15.1,0.17218543046357618,0.6,Moist
47,C07,C,o,3,Robust,Clean,5,Acid,3.9,18.5,30.9,41.9,55.2,72.5,73.6,72.4,11,9,47,47,22.4,0.17410714285714288,0.55,Moist
53,C13,C,o,3,Vigorous,Clean,30,Acid,8.4,10.8,8.5,29.6,33.8,47.1,54.9,38.5,9,11,53,53,19.200000000000003,0.43749999999999994,0.45,Moist
55,C15,C,o,3,Vigorous,Clean,5,Acid,4.4,17.1,17.1,27.5,46.9,62.9,79.6,73.3,8,12,55,55,21.5,0.2046511627906977,0.4,Moist
57,Ce1,C,o,3,Robust,Demolition,30,Acid,13.5,6.8,21,27.8,53.7,63,64.7,59.6,11,9,57,57,20.3,0.6650246305418719,0.55,Moist
58,Ce2,C,o,3,Robust,Demolition,5,Acid,3.9,21,32.3,48.1,56.5,63,70.7,58.7,11,9,58,58,24.9,0.1566265060240964,0.55,Moist
59,Ce3,C,o,3,Vigorous,Demolition,30,Acid,8.5,8.4,24.8,37.5,38.3,56.2,58.1,57.2,8,12,59,59,16.9,0.5029585798816568,0.4,Moist
60,Ce4,C,o,3,Vigorous,Demolition,5,Acid,13.7,3.2,18.1,28.4,39.7,56,57.1,52.2,12,8,60,60,16.9,0.8106508875739645,0.6,Moist
65,D05,D,c,3,Robust,Clean,30,Acid,5.2,5.6,10.6,15.3,29.8,53.1,56.8,40.7,7,13,65,65,10.8,0.48148148148148145,0.35,Moist
67,D07,D,c,3,Robust,Clean,5,Acid,2.9,9,22.1,39.7,54.8,66.6,71,69.6,7,13,67,67,11.9,0.24369747899159663,0.35,Moist
73,D13,D,c,3,Vigorous,Clean,30,Acid,5.3,6.6,11.5,21.4,32.7,47.3,54.9,62.7,9,11,73,73,11.899999999999999,0.44537815126050423,0.45,Moist
75,D15,D,c,3,Vigorous,Clean,5,Acid,10.5,0.2,16.8,24,29.6,49.8,60,56.7,6,14,75,75,10.7,0.9813084112149534,0.3,Moist
77,De1,D,c,3,Robust,Demolition,30,Acid,6.1,4.5,26,33.5,54.8,63,65.7,58.1,10,10,77,77,10.6,0.5754716981132075,0.5,Moist
78,De2,D,c,3,Robust,Demolition,5,Acid,3.6,12.8,34.2,50,65.6,67.6,75,65.5,9,11,78,78,16.400000000000002,0.2195121951219512,0.45,Moist
79,De3,D,c,3,Vigorous,Demolition,30,Acid,6.3,2.5,17.9,21.6,28.5,39,43,42.5,7,13,79,79,8.8,0.7159090909090908,0.35,Moist
80,De4,D,c,3,Vigorous,Demolition,5,Acid,2.9,6.4,12.4,28.4,42.5,59.1,62.7,60.2,11,9,80,80,9.3,0.31182795698924726,0.55,Moist
85,E05,E,o,1,Robust,Clean,30,Acid,8.7,15.4,33,42,55.9,68.6,71.5,66,8,12,85,85,24.1,0.3609958506224066,0.4,Medium_dry
87,E07,E,o,1,Robust,Clean,5,Acid,5.8,19,54.4,63.1,75,73.5,79.8,69.8,9,11,87,87,24.8,0.23387096774193547,0.45,Medium_dry
93,E13,E,o,1,Vigorous,Clean,30,Acid,9.4,9.1,22.8,35.4,54.5,68.9,73.6,66.6,12,8,93,93,18.5,0.5081081081081081,0.6,Medium_dry
95,E15,E,o,1,Vigorous,Clean,5,Acid,5.2,13,19.3,37.5,59.7,72.1,80.3,71.9,13,7,95,95,18.2,0.28571428571428575,0.65,Medium_dry
97,Ee1,E,o,1,Robust,Demolition,30,Acid,6.3,8.8,28.8,41.3,54.3,58,62.5,61,15,5,97,97,15.100000000000001,0.4172185430463576,0.75,Medium_dry
98,Ee2,E,o,1,Robust,Demolition,5,Acid,4.2,10.7,32.6,42,58.8,72.2,71.1,62.4,12,8,98,98,14.899999999999999,0.2818791946308725,0.6,Medium_dry
99,Ee3,E,o,1,Vigorous,Demolition,30,Acid,14.2,5.4,31.3,39.8,49.3,59.6,65.4,62.3,10,10,99,99,19.6,0.7244897959183673,0.5,Medium_dry
100,Ee4,E,o,1,Vigorous,Demolition,5,Acid,14,0.9,23.1,28.5,42.9,58.1,57.8,57.8,7,13,100,100,14.9,0.9395973154362416,0.35,Medium_dry
105,F05,F,c,1,Robust,Clean,30,Acid,3.6,13.3,29.4,48.1,61.4,70.7,72.6,71.2,10,10,105,105,16.900000000000002,0.21301775147928992,0.5,Medium_dry
107,F07,F,c,1,Robust,Clean,5,Acid,4,10.6,41.3,58.1,65.9,71.5,73.5,66.3,10,10,107,107,14.6,0.273972602739726,0.5,Medium_dry
113,F13,F,c,1,Vigorous,Clean,30,Acid,13.3,1.8,25.6,38.1,49.6,57.2,57.7,64.6,12,8,113,113,15.100000000000001,0.8807947019867549,0.6,Medium_dry
115,F15,F,c,1,Vigorous,Clean,5,Acid,14.1,1.6,34.3,43.1,52.9,63.1,67.3,59.3,12,8,115,115,15.7,0.8980891719745223,0.6,Medium_dry
117,Fe1,F,c,1,Robust,Demolition,30,Acid,3.6,4.5,20.5,37.3,53,63.5,60.6,53.2,12,8,117,117,8.1,0.4444444444444445,0.6,Medium_dry
118,Fe2,F,c,1,Robust,Demolition,5,Acid,3.4,10.8,31.1,49.4,66.5,75.3,79.5,77.5,11,9,118,118,14.200000000000001,0.23943661971830985,0.55,Medium_dry
119,Fe3,F,c,1,Vigorous,Demolition,30,Acid,10.5,0.8,22.6,35,42.3,48.7,48.8,47.2,10,10,119,119,11.3,0.9292035398230087,0.5,Medium_dry
120,Fe4,F,c,1,Vigorous,Demolition,5,Acid,4.9,5.3,16.4,37.2,55.1,66,72.5,68.3,8,12,120,120,10.2,0.48039215686274517,0.4,Medium_dry
125,G05,G,o,2,Robust,Clean,30,Acid,3.7,8.4,30.3,43.7,58.6,65.2,67.1,70,9,11,125,125,12.100000000000001,0.30578512396694213,0.45,Medium_moist
127,G07,G,o,2,Robust,Clean,5,Acid,3.5,7.5,58.2,51.4,70.1,69.2,73.2,76.4,10,10,127,127,11,0.3181818181818182,0.5,Medium_moist
133,G13,G,o,2,Vigorous,Clean,30,Acid,5.1,8.6,42.6,64.7,65.7,71.7,69.1,67,14,6,133,133,13.7,0.3722627737226277,0.7,Medium_moist
135,G15,G,o,2,Vigorous,Clean,5,Acid,6.4,3.6,35.1,35.5,51.5,67,59.7,60.1,10,10,135,135,10,0.64,0.5,Medium_moist
137,Ge1,G,o,2,Robust,Demolition,30,Acid,5,4.4,24.9,39.8,50.4,58.7,55.1,64.9,14,6,137,137,9.4,0.5319148936170213,0.7,Medium_moist
138,Ge2,G,o,2,Robust,Demolition,5,Acid,5.2,6.9,38.6,47.6,69.3,76.6,76.7,72.4,11,9,138,138,12.100000000000001,0.42975206611570244,0.55,Medium_moist
139,Ge3,G,o,2,Vigorous,Demolition,30,Acid,4.4,4.2,20.8,30.8,42.9,58.2,55.6,58.1,8,12,139,139,8.600000000000001,0.5116279069767441,0.4,Medium_moist
140,Ge4,G,o,2,Vigorous,Demolition,5,Acid,4.8,8.4,35.5,43.4,63.3,71.6,74.9,71.4,9,11,140,140,13.2,0.36363636363636365,0.45,Medium_moist
145,H05,H,c,2,Robust,Clean,30,Acid,5,6.5,27.3,37.5,53.3,63.2,69.2,71.7,8,12,145,145,11.5,0.43478260869565216,0.4,Medium_moist
147,H07,H,c,2,Robust,Clean,5,Acid,5.3,12.3,55.9,56.7,69.6,73.7,73.7,73.4,10,10,147,147,17.6,0.3011363636363636,0.5,Medium_moist
153,H13,H,c,2,Vigorous,Clean,30,Acid,7.1,3.8,21.7,27.2,47.6,63.3,71.1,66.2,8,12,153,153,10.899999999999999,0.6513761467889909,0.4,Medium_moist
155,H15,H,c,2,Vigorous,Clean,5,Acid,9.1,4.6,33.9,40,57.7,66.6,70.3,68.1,9,11,155,155,13.7,0.6642335766423357,0.45,Medium_moist
157,He1,H,c,2,Robust,Demolition,30,Acid,2.4,11.9,49.1,62.5,61.6,76.9,68.6,72.8,10,10,157,157,14.3,0.1678321678321678,0.5,Medium_moist
158,He2,H,c,2,Robust,Demolition,5,Acid,6.2,2.1,19.4,33.1,48.6,73.9,71.3,65.7,14,6,158,158,8.3,0.7469879518072289,0.7,Medium_moist
159,He3,H,c,2,Vigorous,Demolition,30,Acid,7.3,3.4,19.5,35.4,48.6,59.1,64.2,64.2,9,11,159,159,10.7,0.6822429906542057,0.45,Medium_moist
160,He4,H,c,2,Vigorous,Demolition,5,Acid,8.1,3.5,19.6,33,48.9,63.7,64.6,64.6,15,5,160,160,11.6,0.6982758620689655,0.75,Medium_moist
