no,plot,block,position,watering,seedmix,brickType,brickRatio,acid,grassMass,forbMass,vegCov4,vegCov6,vegCov8,vegCov10,vegCov11,vegCov13,specPres,specAbs,conf.low,conf.high,biomass,grassRatio,estRate,f.watering
28,B08,B,c,0.5,Robust,Clean,5,Control,6,7.2,21.7,28.2,45.1,35.4,69.5,65,12,8,28,28,13.2,0.4545454545454546,0.6,Dry
29,B09,B,c,0.5,Intermediate,Clean,30,Acid,6,8.9,26.6,38.9,53.2,66.6,76.9,70.1,11,9,29,29,14.9,0.40268456375838924,0.55,Dry
30,B10,B,c,0.5,Intermediate,Clean,30,Control,4.7,9.1,17.2,36,44.9,34.3,67.5,67.3,12,8,30,30,13.8,0.34057971014492755,0.6,Dry
31,B11,B,c,0.5,Intermediate,Clean,5,Acid,4.2,10.8,31.3,32.9,40.9,39.6,67.2,52.7,12,8,31,31,15,0.28,0.6,Dry
32,B12,B,c,0.5,Intermediate,Clean,5,Control,5.1,6.7,7.2,27,27.2,50.8,60,50.5,8,12,32,32,11.8,0.43220338983050843,0.4,Dry
33,B13,B,c,0.5,Vigorous,Clean,30,Acid,9.4,1.5,13.7,15.7,15.2,21.7,44.8,47.4,10,10,33,33,10.9,0.8623853211009175,0.5,Dry
34,B14,B,c,0.5,Vigorous,Clean,30,Control,14.6,0.8,18.3,41.9,29,34.4,59.5,65.4,10,10,34,34,15.4,0.948051948051948,0.5,Dry
35,B15,B,c,0.5,Vigorous,Clean,5,Acid,2.9,10.5,22.2,34.3,46.8,41.4,71.6,64.6,10,10,35,35,13.4,0.21641791044776118,0.5,Dry
36,B16,B,c,0.5,Vigorous,Clean,5,Control,8.8,5.4,17.4,28.6,18.9,20.1,47.6,61.6,11,9,36,36,14.200000000000001,0.6197183098591549,0.55,Dry
41,C01,C,o,3,Standard,Clean,30,Acid,34.1,6.8,74.6,70.5,78.7,76.9,89,75,12,4,41,41,40.9,0.8337408312958435,0.75,Moist
42,C02,C,o,3,Standard,Clean,30,Control,17,3.6,38.2,35.5,62,66.8,72.3,72.7,10,6,42,42,20.6,0.8252427184466019,0.625,Moist
43,C03,C,o,3,Standard,Clean,5,Acid,21.4,1.8,36.5,44.4,57.6,71.4,70.7,66.3,12,4,43,43,23.2,0.9224137931034483,0.75,Moist
44,C04,C,o,3,Standard,Clean,5,Control,19.7,5.6,44.5,57.1,69.2,75.2,81.7,75.9,12,4,44,44,25.299999999999997,0.7786561264822135,0.75,Moist
45,C05,C,o,3,Robust,Clean,30,Acid,2.6,12.5,19.2,45.6,52.1,67.1,72.4,64.3,12,8,45,45,15.1,0.17218543046357618,0.6,Moist
46,C06,C,o,3,Robust,Clean,30,Control,1.5,16,28.7,47.3,54.7,60.8,63.8,57.4,10,10,46,46,17.5,0.08571428571428572,0.5,Moist
47,C07,C,o,3,Robust,Clean,5,Acid,3.9,18.5,30.9,41.9,55.2,72.5,73.6,72.4,11,9,47,47,22.4,0.17410714285714288,0.55,Moist
48,C08,C,o,3,Robust,Clean,5,Control,7,10.3,21.2,34.2,35.7,53.7,59.5,70.9,11,9,48,48,17.3,0.40462427745664736,0.55,Moist
49,C09,C,o,3,Intermediate,Clean,30,Acid,9,12.5,16.5,36.1,49.9,60.1,66.1,59.7,9,11,49,49,21.5,0.4186046511627907,0.45,Moist
50,C10,C,o,3,Intermediate,Clean,30,Control,9.1,12,13.3,30.5,54.4,62.8,65.5,59.4,10,10,50,50,21.1,0.4312796208530805,0.5,Moist
51,C11,C,o,3,Intermediate,Clean,5,Acid,7.7,11.8,21.3,35.9,45.1,57.4,69.1,58.6,11,9,51,51,19.5,0.39487179487179486,0.55,Moist
52,C12,C,o,3,Intermediate,Clean,5,Control,7.1,8.2,12.3,30.7,44.6,55.9,53.5,59.6,9,11,52,52,15.299999999999999,0.46405228758169936,0.45,Moist
53,C13,C,o,3,Vigorous,Clean,30,Acid,8.4,10.8,8.5,29.6,33.8,47.1,54.9,38.5,9,11,53,53,19.200000000000003,0.43749999999999994,0.45,Moist
54,C14,C,o,3,Vigorous,Clean,30,Control,13.1,4.9,22.2,38.8,44.8,57.6,65.1,60,9,11,54,54,18,0.7277777777777777,0.45,Moist
55,C15,C,o,3,Vigorous,Clean,5,Acid,4.4,17.1,17.1,27.5,46.9,62.9,79.6,73.3,8,12,55,55,21.5,0.2046511627906977,0.4,Moist
56,C16,C,o,3,Vigorous,Clean,5,Control,5.1,7.5,19.8,45.8,45.9,62.1,71.3,61.7,9,11,56,56,12.6,0.40476190476190477,0.45,Moist
61,D01,D,c,3,Standard,Clean,30,Acid,19.4,8,55.3,74.8,71.2,74.5,77.5,69.9,13,3,61,61,27.4,0.708029197080292,0.8125,Moist
62,D02,D,c,3,Standard,Clean,30,Control,13.1,3.4,44.6,40.6,48.9,60.2,67.1,70.8,12,4,62,62,16.5,0.793939393939394,0.75,Moist
63,D03,D,c,3,Standard,Clean,5,Acid,15.2,3.5,55.3,57.4,63.4,69,70.5,73,11,5,63,63,18.7,0.8128342245989305,0.6875,Moist
64,D04,D,c,3,Standard,Clean,5,Control,13.8,2.3,42.7,47.7,51.3,65.2,69.5,69.8,11,5,64,64,16.1,0.8571428571428571,0.6875,Moist
65,D05,D,c,3,Robust,Clean,30,Acid,5.2,5.6,10.6,15.3,29.8,53.1,56.8,40.7,7,13,65,65,10.8,0.48148148148148145,0.35,Moist
66,D06,D,c,3,Robust,Clean,30,Control,5.2,10.2,42.4,55.3,67.6,70.5,74.3,71.4,7,13,66,66,15.399999999999999,0.3376623376623377,0.35,Moist
67,D07,D,c,3,Robust,Clean,5,Acid,2.9,9,22.1,39.7,54.8,66.6,71,69.6,7,13,67,67,11.9,0.24369747899159663,0.35,Moist
68,D08,D,c,3,Robust,Clean,5,Control,2.5,12,40.6,62.7,69.1,73.6,78.7,70.4,9,11,68,68,14.5,0.1724137931034483,0.45,Moist
69,D09,D,c,3,Intermediate,Clean,30,Acid,4.7,13.5,32.8,53,65.4,69.7,76.1,70.8,11,9,69,69,18.2,0.25824175824175827,0.55,Moist
70,D10,D,c,3,Intermediate,Clean,30,Control,2.3,12.8,24.4,49.1,59.7,66.2,70.9,69.4,7,13,70,70,15.100000000000001,0.15231788079470196,0.35,Moist
71,D11,D,c,3,Intermediate,Clean,5,Acid,2.3,6.4,11.7,26.4,34.4,56.2,60.4,55,11,9,71,71,8.7,0.26436781609195403,0.55,Moist
72,D12,D,c,3,Intermediate,Clean,5,Control,4.7,8.7,13.7,34,37.9,55.1,61.6,60.3,7,13,72,72,13.399999999999999,0.3507462686567165,0.35,Moist
73,D13,D,c,3,Vigorous,Clean,30,Acid,5.3,6.6,11.5,21.4,32.7,47.3,54.9,62.7,9,11,73,73,11.899999999999999,0.44537815126050423,0.45,Moist
74,D14,D,c,3,Vigorous,Clean,30,Control,7.6,4,17,28.2,44.9,52.3,61.2,57.4,9,11,74,74,11.6,0.6551724137931034,0.45,Moist
75,D15,D,c,3,Vigorous,Clean,5,Acid,10.5,0.2,16.8,24,29.6,49.8,60,56.7,6,14,75,75,10.7,0.9813084112149534,0.3,Moist
76,D16,D,c,3,Vigorous,Clean,5,Control,7.2,4.1,17.1,36.3,46.1,59.8,57.9,56.2,7,13,76,76,11.3,0.6371681415929203,0.35,Moist
81,E01,E,o,1,Standard,Clean,30,Acid,25,7.5,76.3,67.5,79.4,84.6,77.8,71.3,12,4,81,81,32.5,0.7692307692307693,0.75,Medium_dry
82,E02,E,o,1,Standard,Clean,30,Control,19.2,2.7,49.1,46.6,58.9,77.7,75.7,71.6,13,3,82,82,21.9,0.87671232876712335,0.8125,Medium_dry
83,E03,E,o,1,Standard,Clean,5,Acid,19.1,5.8,56,64.6,79.8,73.9,77.8,73,13,3,83,83,24.900000000000002,0.7670682730923695,0.8125,Medium_dry
84,E04,E,o,1,Standard,Clean,5,Control,16.3,4,50.2,61.1,67.2,72.5,75.1,71.7,12,4,84,84,20.3,0.8029556650246306,0.75,Medium_dry
85,E05,E,o,1,Robust,Clean,30,Acid,8.7,15.4,33,42,55.9,68.6,71.5,66,8,12,85,85,24.1,0.3609958506224066,0.4,Medium_dry
86,E06,E,o,1,Robust,Clean,30,Control,1.9,15,59.2,64.8,78,78.2,78.7,71.3,11,9,86,86,16.9,0.11242603550295859,0.55,Medium_dry
87,E07,E,o,1,Robust,Clean,5,Acid,5.8,19,54.4,63.1,75,73.5,79.8,69.8,9,11,87,87,24.8,0.23387096774193547,0.45,Medium_dry
88,E08,E,o,1,Robust,Clean,5,Control,2.9,18.7,34,59.1,63.3,73,76,71.9,10,10,88,88,21.599999999999998,0.13425925925925927,0.5,Medium_dry
89,E09,E,o,1,Intermediate,Clean,30,Acid,9.5,17.9,36.2,46.8,58,69.3,73.1,69.7,11,9,89,89,27.4,0.3467153284671533,0.55,Medium_dry
90,E10,E,o,1,Intermediate,Clean,30,Control,6.2,9.3,29.4,40.4,49.3,68,65,63.1,11,9,90,90,15.5,0.4,0.55,Medium_dry
91,E11,E,o,1,Intermediate,Clean,5,Acid,9.2,9.7,23.4,30.6,48.1,64.6,69.2,67.6,11,9,91,91,18.9,0.48677248677248675,0.55,Medium_dry
92,E12,E,o,1,Intermediate,Clean,5,Control,4,17.2,49.6,65.9,83.3,87.7,87.5,67.1,10,10,92,92,21.2,0.18867924528301888,0.5,Medium_dry
93,E13,E,o,1,Vigorous,Clean,30,Acid,9.4,9.1,22.8,35.4,54.5,68.9,73.6,66.6,12,8,93,93,18.5,0.5081081081081081,0.6,Medium_dry
94,E14,E,o,1,Vigorous,Clean,30,Control,7.3,7.7,22.4,40.4,58.1,73.4,78.1,73.4,13,7,94,94,15,0.48666666666666664,0.65,Medium_dry
95,E15,E,o,1,Vigorous,Clean,5,Acid,5.2,13,19.3,37.5,59.7,72.1,80.3,71.9,13,7,95,95,18.2,0.28571428571428575,0.65,Medium_dry
96,E16,E,o,1,Vigorous,Clean,5,Control,12.7,4.4,18,28.8,45.4,65.6,66.5,62.5,12,8,96,96,17.1,0.7426900584795321,0.6,Medium_dry
101,F01,F,c,1,Standard,Clean,30,Acid,20,3.8,52.6,65.1,68.7,78.7,74.6,67.4,12,4,101,101,23.8,0.8403361344537815,0.75,Medium_dry
102,F02,F,c,1,Standard,Clean,30,Control,16.5,0.5,47.5,49.8,61.8,73.8,76.2,71.8,12,4,102,102,17,0.9705882352941176,0.75,Medium_dry
103,F03,F,c,1,Standard,Clean,5,Acid,15.4,0.4,44.4,53.3,63.3,78.7,75.9,63.1,9,7,103,103,15.8,0.9746835443037974,0.5625,Medium_dry
104,F04,F,c,1,Standard,Clean,5,Control,2.4,14.4,34.8,52.4,66.7,81.4,81.5,70,10,6,104,104,16.8,0.14285714285714285,0.625,Medium_dry
105,F05,F,c,1,Robust,Clean,30,Acid,3.6,13.3,29.4,48.1,61.4,70.7,72.6,71.2,10,10,105,105,16.900000000000002,0.21301775147928992,0.5,Medium_dry
106,F06,F,c,1,Robust,Clean,30,Control,2.3,5.7,6.2,22,46.4,57.7,60,50.3,10,10,106,106,8,0.2875,0.5,Medium_dry
107,F07,F,c,1,Robust,Clean,5,Acid,4,10.6,41.3,58.1,65.9,71.5,73.5,66.3,10,10,107,107,14.6,0.273972602739726,0.5,Medium_dry
108,F08,F,c,1,Robust,Clean,5,Control,3.3,9.3,43.6,65.4,70.9,81.1,82.2,71.8,9,11,108,108,12.600000000000001,0.26190476190476186,0.45,Medium_dry
109,F09,F,c,1,Intermediate,Clean,30,Acid,3.1,11,35,54,65.3,76.5,77,70.3,10,10,109,109,14.1,0.2198581560283688,0.5,Medium_dry
110,F10,F,c,1,Intermediate,Clean,30,Control,5.2,4.2,26.2,46.4,55.8,68.2,70.8,71.6,15,5,110,110,9.4,0.5531914893617021,0.75,Medium_dry
111,F11,F,c,1,Intermediate,Clean,5,Acid,4.8,11.9,41.1,60.4,72.3,71.3,76.6,72.9,9,11,111,111,16.7,0.2874251497005988,0.45,Medium_dry
112,F12,F,c,1,Intermediate,Clean,5,Control,3.9,6.1,13.7,37.8,54.2,75.3,73.2,74.9,10,10,112,112,10,0.39,0.5,Medium_dry
113,F13,F,c,1,Vigorous,Clean,30,Acid,13.3,1.8,25.6,38.1,49.6,57.2,57.7,64.6,12,8,113,113,15.100000000000001,0.8807947019867549,0.6,Medium_dry
114,F14,F,c,1,Vigorous,Clean,30,Control,9.4,2.6,17.8,34.7,53.9,67.3,69.6,65.9,12,8,114,114,12,0.7833333333333333,0.6,Medium_dry
115,F15,F,c,1,Vigorous,Clean,5,Acid,14.1,1.6,34.3,43.1,52.9,63.1,67.3,59.3,12,8,115,115,15.7,0.8980891719745223,0.6,Medium_dry
116,F16,F,c,1,Vigorous,Clean,5,Control,4.6,4.3,14.2,25,46,61.4,64.5,62.8,11,9,116,116,8.899999999999999,0.5168539325842697,0.55,Medium_dry
121,G01,G,o,2,Standard,Clean,30,Acid,19,4.7,60,72,77.1,77.5,78.9,71.9,11,5,121,121,23.7,0.8016877637130801,0.6875,Medium_moist
122,G02,G,o,2,Standard,Clean,30,Control,10.4,3.3,43.7,56.9,58.8,68.3,69.8,71.1,12,4,122,122,13.7,0.759124087591241,0.75,Medium_moist
123,G03,G,o,2,Standard,Clean,5,Acid,15.3,0.9,60.3,54.5,66.6,67.8,71.4,66.1,10,6,123,123,16.2,0.9444444444444445,0.625,Medium_moist
124,G04,G,o,2,Standard,Clean,5,Control,14.2,0.4,52.2,65.4,70.3,76.7,75.8,72.9,11,5,124,124,14.6,0.9726027397260274,0.6875,Medium_moist
125,G05,G,o,2,Robust,Clean,30,Acid,3.7,8.4,30.3,43.7,58.6,65.2,67.1,70,9,11,125,125,12.100000000000001,0.30578512396694213,0.45,Medium_moist
126,G06,G,o,2,Robust,Clean,30,Control,8.7,3.4,16.4,28,47.3,57.7,61.3,69.2,12,8,126,126,12.1,0.7190082644628099,0.6,Medium_moist
127,G07,G,o,2,Robust,Clean,5,Acid,3.5,7.5,58.2,51.4,70.1,69.2,73.2,76.4,10,10,127,127,11,0.3181818181818182,0.5,Medium_moist
128,G08,G,o,2,Robust,Clean,5,Control,2.3,7.1,45.4,58.9,66.3,77.1,70.8,69.4,6,14,128,128,9.399999999999999,0.2446808510638298,0.3,Medium_moist
129,G09,G,o,2,Intermediate,Clean,30,Acid,7.8,12.4,55.4,61.5,75.9,73.6,72.4,67.6,9,11,129,129,20.2,0.38613861386138615,0.45,Medium_moist
130,G10,G,o,2,Intermediate,Clean,30,Control,6,1,12.2,21.2,44.3,60.6,60.9,60,11,9,130,130,7,0.8571428571428571,0.55,Medium_moist
131,G11,G,o,2,Intermediate,Clean,5,Acid,5.9,6.1,48.2,50,59.6,66.2,69.7,71.1,12,8,131,131,12,0.4916666666666667,0.6,Medium_moist
132,G12,G,o,2,Intermediate,Clean,5,Control,11.8,1.4,29,35.3,42.9,58.4,58.5,59.1,11,9,132,132,13.200000000000001,0.8939393939393939,0.55,Medium_moist
133,G13,G,o,2,Vigorous,Clean,30,Acid,5.1,8.6,42.6,64.7,65.7,71.7,69.1,67,14,6,133,133,13.7,0.3722627737226277,0.7,Medium_moist
134,G14,G,o,2,Vigorous,Clean,30,Control,11.1,1.5,15.4,23.1,39,46.5,49.9,49.3,9,11,134,134,12.6,0.8809523809523809,0.45,Medium_moist
135,G15,G,o,2,Vigorous,Clean,5,Acid,6.4,3.6,35.1,35.5,51.5,67,59.7,60.1,10,10,135,135,10,0.64,0.5,Medium_moist
136,G16,G,o,2,Vigorous,Clean,5,Control,8,1.3,12.6,32.9,44.4,71.5,72.4,55.9,7,13,136,136,9.3,0.8602150537634408,0.35,Medium_moist
141,H01,H,c,2,Standard,Clean,30,Acid,17.8,6.4,56.6,61.8,66,74.4,76.1,68.6,10,6,141,141,24.200000000000003,0.7355371900826446,0.625,Medium_moist
142,H02,H,c,2,Standard,Clean,30,Control,14.4,3.2,56.1,56.3,64.1,74.5,75.6,76.5,12,4,142,142,17.6,0.8181818181818181,0.75,Medium_moist
143,H03,H,c,2,Standard,Clean,5,Acid,15.4,2,65.2,47.6,59.8,71.3,71,66.2,12,4,143,143,17.4,0.885057471264368,0.75,Medium_moist
144,H04,H,c,2,Standard,Clean,5,Control,12.4,2.4,46.3,56.5,62.5,76.1,77.5,70.6,12,4,144,144,14.8,0.8378378378378378,0.75,Medium_moist
145,H05,H,c,2,Robust,Clean,30,Acid,5,6.5,27.3,37.5,53.3,63.2,69.2,71.7,8,12,145,145,11.5,0.43478260869565216,0.4,Medium_moist
146,H06,H,c,2,Robust,Clean,30,Control,6.3,2.6,21.4,20.8,35.7,52,56.4,52,10,10,146,146,8.9,0.7078651685393258,0.5,Medium_moist
147,H07,H,c,2,Robust,Clean,5,Acid,5.3,12.3,55.9,56.7,69.6,73.7,73.7,73.4,10,10,147,147,17.6,0.3011363636363636,0.5,Medium_moist
148,H08,H,c,2,Robust,Clean,5,Control,5.5,6,28,40.9,53.6,64.1,63.6,62.1,15,5,148,148,11.5,0.4782608695652174,0.75,Medium_moist
149,H09,H,c,2,Intermediate,Clean,30,Acid,15.7,2.2,39.1,40.6,49.7,56.5,59,62.2,13,7,149,149,17.9,0.8770949720670391,0.65,Medium_moist
150,H10,H,c,2,Intermediate,Clean,30,Control,10.3,5,22.2,36.7,54.6,62.5,67.5,66.3,12,8,150,150,15.3,0.673202614379085,0.6,Medium_moist
151,H11,H,c,2,Intermediate,Clean,5,Acid,4.9,5.5,23.8,39.3,59.6,68.3,69.9,69.3,11,9,151,151,10.4,0.47115384615384615,0.55,Medium_moist
152,H12,H,c,2,Intermediate,Clean,5,Control,11.5,5.2,21.3,39.4,53.3,74.5,71.3,69.2,7,13,152,152,16.7,0.688622754491018,0.35,Medium_moist
153,H13,H,c,2,Vigorous,Clean,30,Acid,7.1,3.8,21.7,27.2,47.6,63.3,71.1,66.2,8,12,153,153,10.899999999999999,0.6513761467889909,0.4,Medium_moist
154,H14,H,c,2,Vigorous,Clean,30,Control,4.6,6.8,31,54.9,62.7,70.8,74.8,71,8,12,154,154,11.399999999999999,0.4035087719298246,0.4,Medium_moist
155,H15,H,c,2,Vigorous,Clean,5,Acid,9.1,4.6,33.9,40,57.7,66.6,70.3,68.1,9,11,155,155,13.7,0.6642335766423357,0.45,Medium_moist
156,H16,H,c,2,Vigorous,Clean,5,Control,3.1,10.7,47.8,54.1,61.9,68.6,70.7,74.6,11,9,156,156,13.799999999999999,0.22463768115942032,0.55,Medium_moist
