no	plot	block	watering	brickType	seedmix	seetDensity	brickRatio	acid	grassMass	forbMass	specPres	specAbs	estRate
38	Be2	B	0.5	demolition	robust	4	5	1	4.1	3.9	11	9	0.55
39	Be3	B	0.5	demolition	vigorous	4	30	1	0.9	6.6	9	11	0.45
40	Be4	B	0.5	demolition	vigorous	4	5	1	10.6	2.0	8	12	0.4
41	C01	C	3	clean	standard	20	30	1	34.1	6.8	12	4	0.75
42	C02	C	3	clean	standard	20	30	0	17	3.6	10	6	0.625
43	C03	C	3	clean	standard	20	5	1	21.4	1.8	12	4	0.75
44	C04	C	3	clean	standard	20	5	0	19.7	5.6	12	4	0.75
45	C05	C	3	clean	robust	4	30	1	2.6	12.5	12	8	0.6
46	C06	C	3	clean	robust	4	30	0	1.5	16.0	10	10	0.5
47	C07	C	3	clean	robust	4	5	1	3.9	18.5	11	9	0.55
48	C08	C	3	clean	robust	4	5	0	7	10.3	11	9	0.55
49	C09	C	3	clean	intermediate	4	30	1	9	12.5	9	11	0.45
50	C10	C	3	clean	intermediate	4	30	0	9.1	12.0	10	10	0.5
51	C11	C	3	clean	intermediate	4	5	1	7.7	11.8	11	9	0.55
52	C12	C	3	clean	intermediate	4	5	0	7.1	8.2	9	11	0.45
53	C13	C	3	clean	vigorous	4	30	1	8.4	10.8	9	11	0.45
54	C14	C	3	clean	vigorous	4	30	0	13.1	4.9	9	11	0.45
55	C15	C	3	clean	vigorous	4	5	1	4.4	17.1	8	12	0.4
56	C16	C	3	clean	vigorous	4	5	0	5.1	7.5	9	11	0.45
57	Ce1	C	3	demolition	robust	4	30	1	13.5	6.8	11	9	0.55
58	Ce2	C	3	demolition	robust	4	5	1	3.9	21.0	11	9	0.55
59	Ce3	C	3	demolition	vigorous	4	30	1	8.5	8.4	8	12	0.4
60	Ce4	C	3	demolition	vigorous	4	5	1	13.7	3.2	12	8	0.6
61	D01	D	3	clean	standard	20	30	1	19.4	8.0	13	3	0.8125
62	D02	D	3	clean	standard	20	30	0	13.1	3.4	12	4	0.75
63	D03	D	3	clean	standard	20	5	1	15.2	3.5	11	5	0.6875
64	D04	D	3	clean	standard	20	5	0	13.8	2.3	11	5	0.6875
65	D05	D	3	clean	robust	4	30	1	5.2	5.6	7	13	0.35
66	D06	D	3	clean	robust	4	30	0	5.2	10.2	7	13	0.35
67	D07	D	3	clean	robust	4	5	1	2.9	9.0	7	13	0.35
68	D08	D	3	clean	robust	4	5	0	2.5	12.0	9	11	0.45
69	D09	D	3	clean	intermediate	4	30	1	4.7	13.5	11	9	0.55
70	D10	D	3	clean	intermediate	4	30	0	2.3	12.8	7	13	0.35
71	D11	D	3	clean	intermediate	4	5	1	2.3	6.4	11	9	0.55
72	D12	D	3	clean	intermediate	4	5	0	4.7	8.7	7	13	0.35
73	D13	D	3	clean	vigorous	4	30	1	5.3	6.6	9	11	0.45
74	D14	D	3	clean	vigorous	4	30	0	7.6	4.0	9	11	0.45
75	D15	D	3	clean	vigorous	4	5	1	10.5	0.2	6	14	0.3
76	D16	D	3	clean	vigorous	4	5	0	7.2	4.1	7	13	0.35
77	De1	D	3	demolition	robust	4	30	1	6.1	4.5	10	10	0.5
78	De2	D	3	demolition	robust	4	5	1	3.6	12.8	9	11	0.45
79	De3	D	3	demolition	vigorous	4	30	1	6.3	2.5	7	13	0.35
80	De4	D	3	demolition	vigorous	4	5	1	2.9	6.4	11	9	0.55
81	E01	E	1	clean	standard	20	30	1	25	7.5	12	4	0.75
82	E02	E	1	clean	standard	20	30	0	19.2	2.7	13	3	0.8125
83	E03	E	1	clean	standard	20	5	1	19.1	5.8	13	3	0.8125
84	E04	E	1	clean	standard	20	5	0	16.3	4.0	12	4	0.75
85	E05	E	1	clean	robust	4	30	1	8.7	15.4	8	12	0.4
86	E06	E	1	clean	robust	4	30	0	1.9	15.0	11	9	0.55
87	E07	E	1	clean	robust	4	5	1	5.8	19.0	9	11	0.45
88	E08	E	1	clean	robust	4	5	0	2.9	18.7	10	10	0.5
89	E09	E	1	clean	intermediate	4	30	1	9.5	17.9	11	9	0.55
90	E10	E	1	clean	intermediate	4	30	0	6.2	9.3	11	9	0.55
91	E11	E	1	clean	intermediate	4	5	1	9.2	9.7	11	9	0.55
92	E12	E	1	clean	intermediate	4	5	0	4	17.2	10	10	0.5
93	E13	E	1	clean	vigorous	4	30	1	9.4	9.1	12	8	0.6
94	E14	E	1	clean	vigorous	4	30	0	7.3	7.7	13	7	0.65
95	E15	E	1	clean	vigorous	4	5	1	5.2	13.0	13	7	0.65
96	E16	E	1	clean	vigorous	4	5	0	12.7	4.4	12	8	0.6
97	Ee1	E	1	demolition	robust	4	30	1	6.3	8.8	15	5	0.75
98	Ee2	E	1	demolition	robust	4	5	1	4.2	10.7	12	8	0.6
99	Ee3	E	1	demolition	vigorous	4	30	1	14.2	5.4	10	10	0.5
100	Ee4	E	1	demolition	vigorous	4	5	1	14	0.9	7	13	0.35
101	F01	F	1	clean	standard	20	30	1	20	3.8	12	4	0.75
102	F02	F	1	clean	standard	20	30	0	16.5	0.5	12	4	0.75
103	F03	F	1	clean	standard	20	5	1	15.4	0.4	9	7	0.5625
104	F04	F	1	clean	standard	20	5	0	2.4	14.4	10	6	0.625
105	F05	F	1	clean	robust	4	30	1	3.6	13.3	10	10	0.5
106	F06	F	1	clean	robust	4	30	0	2.3	5.7	10	10	0.5
107	F07	F	1	clean	robust	4	5	1	4	10.6	10	10	0.5
108	F08	F	1	clean	robust	4	5	0	3.3	9.3	9	11	0.45
109	F09	F	1	clean	intermediate	4	30	1	3.1	11.0	10	10	0.5
110	F10	F	1	clean	intermediate	4	30	0	5.2	4.2	15	5	0.75
111	F11	F	1	clean	intermediate	4	5	1	4.8	11.9	9	11	0.45
112	F12	F	1	clean	intermediate	4	5	0	3.9	6.1	10	10	0.5
113	F13	F	1	clean	vigorous	4	30	1	13.3	1.8	12	8	0.6
114	F14	F	1	clean	vigorous	4	30	0	9.4	2.6	12	8	0.6
115	F15	F	1	clean	vigorous	4	5	1	14.1	1.6	12	8	0.6
116	F16	F	1	clean	vigorous	4	5	0	4.6	4.3	11	9	0.55
117	Fe1	F	1	demolition	robust	4	30	1	3.6	4.5	12	8	0.6
118	Fe2	F	1	demolition	robust	4	5	1	3.4	10.8	11	9	0.55
119	Fe3	F	1	demolition	vigorous	4	30	1	10.5	0.8	10	10	0.5
120	Fe4	F	1	demolition	vigorous	4	5	1	4.9	5.3	8	12	0.4
121	G01	G	2	clean	standard	20	30	1	19	4.7	11	5	0.6875
122	G02	G	2	clean	standard	20	30	0	10.4	3.3	12	4	0.75
123	G03	G	2	clean	standard	20	5	1	15.3	0.9	10	6	0.625
124	G04	G	2	clean	standard	20	5	0	14.2	0.4	11	5	0.6875
125	G05	G	2	clean	robust	4	30	1	3.7	8.4	9	11	0.45
126	G06	G	2	clean	robust	4	30	0	8.7	3.4	12	8	0.6
127	G07	G	2	clean	robust	4	5	1	3.5	7.5	10	10	0.5
128	G08	G	2	clean	robust	4	5	0	2.3	7.1	6	14	0.3
129	G09	G	2	clean	intermediate	4	30	1	7.8	12.4	9	11	0.45
130	G10	G	2	clean	intermediate	4	30	0	6	1.0	11	9	0.55
131	G11	G	2	clean	intermediate	4	5	1	5.9	6.1	12	8	0.6
132	G12	G	2	clean	intermediate	4	5	0	11.8	1.4	11	9	0.55
133	G13	G	2	clean	vigorous	4	30	1	5.1	8.6	14	6	0.7
134	G14	G	2	clean	vigorous	4	30	0	11.1	1.5	9	11	0.45
135	G15	G	2	clean	vigorous	4	5	1	6.4	3.6	10	10	0.5
136	G16	G	2	clean	vigorous	4	5	0	8	1.3	7	13	0.35
137	Ge1	G	2	demolition	robust	4	30	1	5	4.4	14	6	0.7
138	Ge2	G	2	demolition	robust	4	5	1	5.2	6.9	11	9	0.55
139	Ge3	G	2	demolition	vigorous	4	30	1	4.4	4.2	8	12	0.4
140	Ge4	G	2	demolition	vigorous	4	5	1	4.8	8.4	9	11	0.45
141	H01	H	2	clean	standard	20	30	1	17.8	6.4	10	6	0.625
142	H02	H	2	clean	standard	20	30	0	14.4	3.2	12	4	0.75
143	H03	H	2	clean	standard	20	5	1	15.4	2.0	12	4	0.75
144	H04	H	2	clean	standard	20	5	0	12.4	2.4	12	4	0.75
145	H05	H	2	clean	robust	4	30	1	5	6.5	8	12	0.4
146	H06	H	2	clean	robust	4	30	0	6.3	2.6	10	10	0.5
147	H07	H	2	clean	robust	4	5	1	5.3	12.3	10	10	0.5
148	H08	H	2	clean	robust	4	5	0	5.5	6.0	15	5	0.75
149	H09	H	2	clean	intermediate	4	30	1	15.7	2.2	13	7	0.65
150	H10	H	2	clean	intermediate	4	30	0	10.3	5.0	12	8	0.6
151	H11	H	2	clean	intermediate	4	5	1	4.9	5.5	11	9	0.55
152	H12	H	2	clean	intermediate	4	5	0	11.5	5.2	7	13	0.35
153	H13	H	2	clean	vigorous	4	30	1	7.1	3.8	8	12	0.4
154	H14	H	2	clean	vigorous	4	30	0	4.6	6.8	8	12	0.4
155	H15	H	2	clean	vigorous	4	5	1	9.1	4.6	9	11	0.45
156	H16	H	2	clean	vigorous	4	5	0	3.1	10.7	11	9	0.55
157	He1	H	2	demolition	robust	4	30	1	2.4	11.9	10	10	0.5
158	He2	H	2	demolition	robust	4	5	1	6.2	2.1	14	6	0.7
159	He3	H	2	demolition	vigorous	4	30	1	7.3	3.4	9	11	0.45
160	He4	H	2	demolition	vigorous	4	5	1	8.1	3.5	15	5	0.75
