no,plot,date,block,position,watering,seedmix,seedDensity,substrate,brickType,brickRatio,acid,grassMass,forbMass,vegCov4,vegCov6,vegCov8,vegCov10,vegCov11,vegCov13,extraspecNo,specPres,specAbs
33,B13,2019-09-03,B,c,0.5,Vigorous,4,substrate_7,Clean,30,Acid,9.4,1.5,13.7,15.7,15.2,21.7,44.8,47.4,1,10,10
34,B14,2019-09-03,B,c,0.5,Vigorous,4,substrate_9,Clean,30,Control,14.6,0.8,18.3,41.9,29,34.4,59.5,65.4,0,10,10
35,B15,2019-09-03,B,c,0.5,Vigorous,4,substrate_8,Clean,5,Acid,2.9,10.5,22.2,34.3,46.8,41.4,71.6,64.6,0,10,10
36,B16,2019-09-03,B,c,0.5,Vigorous,4,substrate_10,Clean,5,Control,8.8,5.4,17.4,28.6,18.9,20.1,47.6,61.6,0,11,9
37,Be1,2019-09-03,B,c,0.5,Robust,4,substrate_11,Demolition,30,Acid,3.9,3.3,7.7,16.8,20.7,30.6,35.2,31.9,0,12,8
38,Be2,2019-09-03,B,c,0.5,Robust,4,substrate_12,Demolition,5,Acid,4.1,3.9,14.3,15.6,12,17.3,44.9,55,0,11,9
39,Be3,2019-09-03,B,c,0.5,Vigorous,4,substrate_11,Demolition,30,Acid,0.9,6.6,11.4,19.7,30.4,49.6,58.5,44.8,0,9,11
40,Be4,2019-09-03,B,c,0.5,Vigorous,4,substrate_12,Demolition,5,Acid,10.6,2,12.6,37.2,25.2,42.6,56.2,53.6,1,8,12
41,C01,2019-09-03,C,o,3,Standard,20,substrate_7,Clean,30,Acid,34.1,6.8,74.6,70.5,78.7,76.9,89,75,2,12,4
42,C02,2019-09-03,C,o,3,Standard,20,substrate_9,Clean,30,Control,17,3.6,38.2,35.5,62,66.8,72.3,72.7,2,10,6
43,C03,2019-09-03,C,o,3,Standard,20,substrate_8,Clean,5,Acid,21.4,1.8,36.5,44.4,57.6,71.4,70.7,66.3,0,12,4
44,C04,2019-09-03,C,o,3,Standard,20,substrate_10,Clean,5,Control,19.7,5.6,44.5,57.1,69.2,75.2,81.7,75.9,0,12,4
45,C05,2019-09-03,C,o,3,Robust,4,substrate_7,Clean,30,Acid,2.6,12.5,19.2,45.6,52.1,67.1,72.4,64.3,1,12,8
46,C06,2019-09-03,C,o,3,Robust,4,substrate_9,Clean,30,Control,1.5,16,28.7,47.3,54.7,60.8,63.8,57.4,1,10,10
47,C07,2019-09-03,C,o,3,Robust,4,substrate_8,Clean,5,Acid,3.9,18.5,30.9,41.9,55.2,72.5,73.6,72.4,2,11,9
48,C08,2019-09-03,C,o,3,Robust,4,substrate_10,Clean,5,Control,7,10.3,21.2,34.2,35.7,53.7,59.5,70.9,2,11,9
49,C09,2019-09-03,C,o,3,Intermediate,4,substrate_7,Clean,30,Acid,9,12.5,16.5,36.1,49.9,60.1,66.1,59.7,0,9,11
50,C10,2019-09-03,C,o,3,Intermediate,4,substrate_9,Clean,30,Control,9.1,12,13.3,30.5,54.4,62.8,65.5,59.4,0,10,10
51,C11,2019-09-03,C,o,3,Intermediate,4,substrate_8,Clean,5,Acid,7.7,11.8,21.3,35.9,45.1,57.4,69.1,58.6,1,11,9
52,C12,2019-09-03,C,o,3,Intermediate,4,substrate_10,Clean,5,Control,7.1,8.2,12.3,30.7,44.6,55.9,53.5,59.6,4,9,11
53,C13,2019-09-03,C,o,3,Vigorous,4,substrate_7,Clean,30,Acid,8.4,10.8,8.5,29.6,33.8,47.1,54.9,38.5,1,9,11
54,C14,2019-09-03,C,o,3,Vigorous,4,substrate_9,Clean,30,Control,13.1,4.9,22.2,38.8,44.8,57.6,65.1,60,1,9,11
55,C15,2019-09-03,C,o,3,Vigorous,4,substrate_8,Clean,5,Acid,4.4,17.1,17.1,27.5,46.9,62.9,79.6,73.3,0,8,12
56,C16,2019-09-03,C,o,3,Vigorous,4,substrate_10,Clean,5,Control,5.1,7.5,19.8,45.8,45.9,62.1,71.3,61.7,0,9,11
57,Ce1,2019-09-03,C,o,3,Robust,4,substrate_11,Demolition,30,Acid,13.5,6.8,21,27.8,53.7,63,64.7,59.6,0,11,9
58,Ce2,2019-09-03,C,o,3,Robust,4,substrate_12,Demolition,5,Acid,3.9,21,32.3,48.1,56.5,63,70.7,58.7,1,11,9
59,Ce3,2019-09-03,C,o,3,Vigorous,4,substrate_11,Demolition,30,Acid,8.5,8.4,24.8,37.5,38.3,56.2,58.1,57.2,2,8,12
60,Ce4,2019-09-03,C,o,3,Vigorous,4,substrate_12,Demolition,5,Acid,13.7,3.2,18.1,28.4,39.7,56,57.1,52.2,0,12,8
61,D01,2019-09-03,D,c,3,Standard,20,substrate_7,Clean,30,Acid,19.4,8,55.3,74.8,71.2,74.5,77.5,69.9,0,13,3
62,D02,2019-09-03,D,c,3,Standard,20,substrate_9,Clean,30,Control,13.1,3.4,44.6,40.6,48.9,60.2,67.1,70.8,0,12,4
63,D03,2019-09-03,D,c,3,Standard,20,substrate_8,Clean,5,Acid,15.2,3.5,55.3,57.4,63.4,69,70.5,73,0,11,5
64,D04,2019-09-03,D,c,3,Standard,20,substrate_10,Clean,5,Control,13.8,2.3,42.7,47.7,51.3,65.2,69.5,69.8,0,11,5
65,D05,2019-09-03,D,c,3,Robust,4,substrate_7,Clean,30,Acid,5.2,5.6,10.6,15.3,29.8,53.1,56.8,40.7,0,7,13
66,D06,2019-09-03,D,c,3,Robust,4,substrate_9,Clean,30,Control,5.2,10.2,42.4,55.3,67.6,70.5,74.3,71.4,1,7,13
67,D07,2019-09-03,D,c,3,Robust,4,substrate_8,Clean,5,Acid,2.9,9,22.1,39.7,54.8,66.6,71,69.6,1,7,13
68,D08,2019-09-03,D,c,3,Robust,4,substrate_10,Clean,5,Control,2.5,12,40.6,62.7,69.1,73.6,78.7,70.4,1,9,11
69,D09,2019-09-03,D,c,3,Intermediate,4,substrate_7,Clean,30,Acid,4.7,13.5,32.8,53,65.4,69.7,76.1,70.8,1,11,9
70,D10,2019-09-03,D,c,3,Intermediate,4,substrate_9,Clean,30,Control,2.3,12.8,24.4,49.1,59.7,66.2,70.9,69.4,2,7,13
71,D11,2019-09-03,D,c,3,Intermediate,4,substrate_8,Clean,5,Acid,2.3,6.4,11.7,26.4,34.4,56.2,60.4,55,0,11,9
72,D12,2019-09-03,D,c,3,Intermediate,4,substrate_10,Clean,5,Control,4.7,8.7,13.7,34,37.9,55.1,61.6,60.3,0,7,13
73,D13,2019-09-03,D,c,3,Vigorous,4,substrate_7,Clean,30,Acid,5.3,6.6,11.5,21.4,32.7,47.3,54.9,62.7,0,9,11
74,D14,2019-09-03,D,c,3,Vigorous,4,substrate_9,Clean,30,Control,7.6,4,17,28.2,44.9,52.3,61.2,57.4,0,9,11
75,D15,2019-09-03,D,c,3,Vigorous,4,substrate_8,Clean,5,Acid,10.5,0.2,16.8,24,29.6,49.8,60,56.7,1,6,14
76,D16,2019-09-03,D,c,3,Vigorous,4,substrate_10,Clean,5,Control,7.2,4.1,17.1,36.3,46.1,59.8,57.9,56.2,0,7,13
77,De1,2019-09-03,D,c,3,Robust,4,substrate_11,Demolition,30,Acid,6.1,4.5,26,33.5,54.8,63,65.7,58.1,0,10,10
78,De2,2019-09-03,D,c,3,Robust,4,substrate_12,Demolition,5,Acid,3.6,12.8,34.2,50,65.6,67.6,75,65.5,0,9,11
79,De3,2019-09-03,D,c,3,Vigorous,4,substrate_11,Demolition,30,Acid,6.3,2.5,17.9,21.6,28.5,39,43,42.5,1,7,13
80,De4,2019-09-03,D,c,3,Vigorous,4,substrate_12,Demolition,5,Acid,2.9,6.4,12.4,28.4,42.5,59.1,62.7,60.2,0,11,9
81,E01,2019-09-04,E,o,1,Standard,20,substrate_7,Clean,30,Acid,25,7.5,76.3,67.5,79.4,84.6,77.8,71.3,0,12,4
82,E02,2019-09-04,E,o,1,Standard,20,substrate_9,Clean,30,Control,19.2,2.7,49.1,46.6,58.9,77.7,75.7,71.6,0,13,3
83,E03,2019-09-04,E,o,1,Standard,20,substrate_8,Clean,5,Acid,19.1,5.8,56,64.6,79.8,73.9,77.8,73,0,13,3
84,E04,2019-09-04,E,o,1,Standard,20,substrate_10,Clean,5,Control,16.3,4,50.2,61.1,67.2,72.5,75.1,71.7,0,12,4
85,E05,2019-09-04,E,o,1,Robust,4,substrate_7,Clean,30,Acid,8.7,15.4,33,42,55.9,68.6,71.5,66,1,8,12
86,E06,2019-09-04,E,o,1,Robust,4,substrate_9,Clean,30,Control,1.9,15,59.2,64.8,78,78.2,78.7,71.3,0,11,9
87,E07,2019-09-04,E,o,1,Robust,4,substrate_8,Clean,5,Acid,5.8,19,54.4,63.1,75,73.5,79.8,69.8,1,9,11
88,E08,2019-09-04,E,o,1,Robust,4,substrate_10,Clean,5,Control,2.9,18.7,34,59.1,63.3,73,76,71.9,2,10,10
89,E09,2019-09-04,E,o,1,Intermediate,4,substrate_7,Clean,30,Acid,9.5,17.9,36.2,46.8,58,69.3,73.1,69.7,1,11,9
90,E10,2019-09-04,E,o,1,Intermediate,4,substrate_9,Clean,30,Control,6.2,9.3,29.4,40.4,49.3,68,65,63.1,1,11,9
91,E11,2019-09-04,E,o,1,Intermediate,4,substrate_8,Clean,5,Acid,9.2,9.7,23.4,30.6,48.1,64.6,69.2,67.6,2,11,9
92,E12,2019-09-04,E,o,1,Intermediate,4,substrate_10,Clean,5,Control,4,17.2,49.6,65.9,83.3,87.7,87.5,67.1,4,10,10
93,E13,2019-09-04,E,o,1,Vigorous,4,substrate_7,Clean,30,Acid,9.4,9.1,22.8,35.4,54.5,68.9,73.6,66.6,0,12,8
94,E14,2019-09-04,E,o,1,Vigorous,4,substrate_9,Clean,30,Control,7.3,7.7,22.4,40.4,58.1,73.4,78.1,73.4,2,13,7
95,E15,2019-09-04,E,o,1,Vigorous,4,substrate_8,Clean,5,Acid,5.2,13,19.3,37.5,59.7,72.1,80.3,71.9,3,13,7
96,E16,2019-09-04,E,o,1,Vigorous,4,substrate_10,Clean,5,Control,12.7,4.4,18,28.8,45.4,65.6,66.5,62.5,3,12,8
97,Ee1,2019-09-04,E,o,1,Robust,4,substrate_11,Demolition,30,Acid,6.3,8.8,28.8,41.3,54.3,58,62.5,61,1,15,5
98,Ee2,2019-09-04,E,o,1,Robust,4,substrate_12,Demolition,5,Acid,4.2,10.7,32.6,42,58.8,72.2,71.1,62.4,2,12,8
99,Ee3,2019-09-04,E,o,1,Vigorous,4,substrate_11,Demolition,30,Acid,14.2,5.4,31.3,39.8,49.3,59.6,65.4,62.3,1,10,10
100,Ee4,2019-09-04,E,o,1,Vigorous,4,substrate_12,Demolition,5,Acid,14,0.9,23.1,28.5,42.9,58.1,57.8,57.8,2,7,13
101,F01,2019-09-04,F,c,1,Standard,20,substrate_7,Clean,30,Acid,20,3.8,52.6,65.1,68.7,78.7,74.6,67.4,0,12,4
102,F02,2019-09-04,F,c,1,Standard,20,substrate_9,Clean,30,Control,16.5,0.5,47.5,49.8,61.8,73.8,76.2,71.8,0,12,4
103,F03,2019-09-04,F,c,1,Standard,20,substrate_8,Clean,5,Acid,15.4,0.4,44.4,53.3,63.3,78.7,75.9,63.1,0,9,7
104,F04,2019-09-04,F,c,1,Standard,20,substrate_10,Clean,5,Control,2.4,14.4,34.8,52.4,66.7,81.4,81.5,70,0,10,6
105,F05,2019-09-04,F,c,1,Robust,4,substrate_7,Clean,30,Acid,3.6,13.3,29.4,48.1,61.4,70.7,72.6,71.2,3,10,10
106,F06,2019-09-04,F,c,1,Robust,4,substrate_9,Clean,30,Control,2.3,5.7,6.2,22,46.4,57.7,60,50.3,3,10,10
107,F07,2019-09-04,F,c,1,Robust,4,substrate_8,Clean,5,Acid,4,10.6,41.3,58.1,65.9,71.5,73.5,66.3,0,10,10
108,F08,2019-09-04,F,c,1,Robust,4,substrate_10,Clean,5,Control,3.3,9.3,43.6,65.4,70.9,81.1,82.2,71.8,0,9,11
109,F09,2019-09-04,F,c,1,Intermediate,4,substrate_7,Clean,30,Acid,3.1,11,35,54,65.3,76.5,77,70.3,1,10,10
110,F10,2019-09-04,F,c,1,Intermediate,4,substrate_9,Clean,30,Control,5.2,4.2,26.2,46.4,55.8,68.2,70.8,71.6,2,15,5
111,F11,2019-09-04,F,c,1,Intermediate,4,substrate_8,Clean,5,Acid,4.8,11.9,41.1,60.4,72.3,71.3,76.6,72.9,2,9,11
112,F12,2019-09-04,F,c,1,Intermediate,4,substrate_10,Clean,5,Control,3.9,6.1,13.7,37.8,54.2,75.3,73.2,74.9,2,10,10
113,F13,2019-09-04,F,c,1,Vigorous,4,substrate_7,Clean,30,Acid,13.3,1.8,25.6,38.1,49.6,57.2,57.7,64.6,1,12,8
114,F14,2019-09-04,F,c,1,Vigorous,4,substrate_9,Clean,30,Control,9.4,2.6,17.8,34.7,53.9,67.3,69.6,65.9,2,12,8
115,F15,2019-09-04,F,c,1,Vigorous,4,substrate_8,Clean,5,Acid,14.1,1.6,34.3,43.1,52.9,63.1,67.3,59.3,1,12,8
116,F16,2019-09-04,F,c,1,Vigorous,4,substrate_10,Clean,5,Control,4.6,4.3,14.2,25,46,61.4,64.5,62.8,0,11,9
117,Fe1,2019-09-04,F,c,1,Robust,4,substrate_11,Demolition,30,Acid,3.6,4.5,20.5,37.3,53,63.5,60.6,53.2,0,12,8
118,Fe2,2019-09-04,F,c,1,Robust,4,substrate_12,Demolition,5,Acid,3.4,10.8,31.1,49.4,66.5,75.3,79.5,77.5,1,11,9
119,Fe3,2019-09-04,F,c,1,Vigorous,4,substrate_11,Demolition,30,Acid,10.5,0.8,22.6,35,42.3,48.7,48.8,47.2,1,10,10
120,Fe4,2019-09-04,F,c,1,Vigorous,4,substrate_12,Demolition,5,Acid,4.9,5.3,16.4,37.2,55.1,66,72.5,68.3,2,8,12
121,G01,2019-09-04,G,o,2,Standard,20,substrate_7,Clean,30,Acid,19,4.7,60,72,77.1,77.5,78.9,71.9,0,11,5
122,G02,2019-09-04,G,o,2,Standard,20,substrate_9,Clean,30,Control,10.4,3.3,43.7,56.9,58.8,68.3,69.8,71.1,0,12,4
123,G03,2019-09-04,G,o,2,Standard,20,substrate_8,Clean,5,Acid,15.3,0.9,60.3,54.5,66.6,67.8,71.4,66.1,1,10,6
124,G04,2019-09-04,G,o,2,Standard,20,substrate_10,Clean,5,Control,14.2,0.4,52.2,65.4,70.3,76.7,75.8,72.9,0,11,5
125,G05,2019-09-04,G,o,2,Robust,4,substrate_7,Clean,30,Acid,3.7,8.4,30.3,43.7,58.6,65.2,67.1,70,0,9,11
126,G06,2019-09-04,G,o,2,Robust,4,substrate_9,Clean,30,Control,8.7,3.4,16.4,28,47.3,57.7,61.3,69.2,3,12,8
127,G07,2019-09-04,G,o,2,Robust,4,substrate_8,Clean,5,Acid,3.5,7.5,58.2,51.4,70.1,69.2,73.2,76.4,2,10,10
128,G08,2019-09-04,G,o,2,Robust,4,substrate_10,Clean,5,Control,2.3,7.1,45.4,58.9,66.3,77.1,70.8,69.4,2,6,14
129,G09,2019-09-04,G,o,2,Intermediate,4,substrate_7,Clean,30,Acid,7.8,12.4,55.4,61.5,75.9,73.6,72.4,67.6,1,9,11
130,G10,2019-09-04,G,o,2,Intermediate,4,substrate_9,Clean,30,Control,6,1,12.2,21.2,44.3,60.6,60.9,60,3,11,9
131,G11,2019-09-04,G,o,2,Intermediate,4,substrate_8,Clean,5,Acid,5.9,6.1,48.2,50,59.6,66.2,69.7,71.1,1,12,8
132,G12,2019-09-04,G,o,2,Intermediate,4,substrate_10,Clean,5,Control,11.8,1.4,29,35.3,42.9,58.4,58.5,59.1,1,11,9
133,G13,2019-09-04,G,o,2,Vigorous,4,substrate_7,Clean,30,Acid,5.1,8.6,42.6,64.7,65.7,71.7,69.1,67,1,14,6
134,G14,2019-09-04,G,o,2,Vigorous,4,substrate_9,Clean,30,Control,11.1,1.5,15.4,23.1,39,46.5,49.9,49.3,0,9,11
135,G15,2019-09-04,G,o,2,Vigorous,4,substrate_8,Clean,5,Acid,6.4,3.6,35.1,35.5,51.5,67,59.7,60.1,0,10,10
136,G16,2019-09-04,G,o,2,Vigorous,4,substrate_10,Clean,5,Control,8,1.3,12.6,32.9,44.4,71.5,72.4,55.9,1,7,13
137,Ge1,2019-09-04,G,o,2,Robust,4,substrate_11,Demolition,30,Acid,5,4.4,24.9,39.8,50.4,58.7,55.1,64.9,0,14,6
138,Ge2,2019-09-04,G,o,2,Robust,4,substrate_12,Demolition,5,Acid,5.2,6.9,38.6,47.6,69.3,76.6,76.7,72.4,1,11,9
139,Ge3,2019-09-04,G,o,2,Vigorous,4,substrate_11,Demolition,30,Acid,4.4,4.2,20.8,30.8,42.9,58.2,55.6,58.1,1,8,12
140,Ge4,2019-09-04,G,o,2,Vigorous,4,substrate_12,Demolition,5,Acid,4.8,8.4,35.5,43.4,63.3,71.6,74.9,71.4,3,9,11
141,H01,2019-09-04,H,c,2,Standard,20,substrate_7,Clean,30,Acid,17.8,6.4,56.6,61.8,66,74.4,76.1,68.6,0,10,6
142,H02,2019-09-04,H,c,2,Standard,20,substrate_9,Clean,30,Control,14.4,3.2,56.1,56.3,64.1,74.5,75.6,76.5,1,12,4
143,H03,2019-09-04,H,c,2,Standard,20,substrate_8,Clean,5,Acid,15.4,2,65.2,47.6,59.8,71.3,71,66.2,0,12,4
144,H04,2019-09-04,H,c,2,Standard,20,substrate_10,Clean,5,Control,12.4,2.4,46.3,56.5,62.5,76.1,77.5,70.6,0,12,4
145,H05,2019-09-04,H,c,2,Robust,4,substrate_7,Clean,30,Acid,5,6.5,27.3,37.5,53.3,63.2,69.2,71.7,1,8,12
146,H06,2019-09-04,H,c,2,Robust,4,substrate_9,Clean,30,Control,6.3,2.6,21.4,20.8,35.7,52,56.4,52,1,10,10
147,H07,2019-09-04,H,c,2,Robust,4,substrate_8,Clean,5,Acid,5.3,12.3,55.9,56.7,69.6,73.7,73.7,73.4,1,10,10
148,H08,2019-09-04,H,c,2,Robust,4,substrate_10,Clean,5,Control,5.5,6,28,40.9,53.6,64.1,63.6,62.1,1,15,5
149,H09,2019-09-04,H,c,2,Intermediate,4,substrate_7,Clean,30,Acid,15.7,2.2,39.1,40.6,49.7,56.5,59,62.2,0,13,7
150,H10,2019-09-04,H,c,2,Intermediate,4,substrate_9,Clean,30,Control,10.3,5,22.2,36.7,54.6,62.5,67.5,66.3,3,12,8
151,H11,2019-09-04,H,c,2,Intermediate,4,substrate_8,Clean,5,Acid,4.9,5.5,23.8,39.3,59.6,68.3,69.9,69.3,1,11,9
152,H12,2019-09-04,H,c,2,Intermediate,4,substrate_10,Clean,5,Control,11.5,5.2,21.3,39.4,53.3,74.5,71.3,69.2,2,7,13
153,H13,2019-09-04,H,c,2,Vigorous,4,substrate_7,Clean,30,Acid,7.1,3.8,21.7,27.2,47.6,63.3,71.1,66.2,3,8,12
154,H14,2019-09-04,H,c,2,Vigorous,4,substrate_9,Clean,30,Control,4.6,6.8,31,54.9,62.7,70.8,74.8,71,4,8,12
155,H15,2019-09-04,H,c,2,Vigorous,4,substrate_8,Clean,5,Acid,9.1,4.6,33.9,40,57.7,66.6,70.3,68.1,1,9,11
156,H16,2019-09-04,H,c,2,Vigorous,4,substrate_10,Clean,5,Control,3.1,10.7,47.8,54.1,61.9,68.6,70.7,74.6,3,11,9
157,He1,2019-09-04,H,c,2,Robust,4,substrate_11,Demolition,30,Acid,2.4,11.9,49.1,62.5,61.6,76.9,68.6,72.8,5,10,10
158,He2,2019-09-04,H,c,2,Robust,4,substrate_12,Demolition,5,Acid,6.2,2.1,19.4,33.1,48.6,73.9,71.3,65.7,0,14,6
159,He3,2019-09-04,H,c,2,Vigorous,4,substrate_11,Demolition,30,Acid,7.3,3.4,19.5,35.4,48.6,59.1,64.2,64.2,0,9,11
160,He4,2019-09-04,H,c,2,Vigorous,4,substrate_12,Demolition,5,Acid,8.1,3.5,19.6,33,48.9,63.7,64.6,64.6,1,15,5
