name,plot,weight,weightRatio,presence
Medicago_lupulina,A06,0.01,0.012,0
Onobrychis_viciifolia,A06,0.05,0.103,1
Poa_angustifolia,A06,0.05,0.101,1
Primula_veris,A06,0.06,0.125,0
Prunella_vulgaris,A06,0.01,0.013,1
Ranunculus_acris,A06,0.03,0.062,1
Silene_dioica,A06,0,0.007,1
Thymus_pulegioides,A06,0.01,0.016,1
Veronica_chamaedrys,A06,0,0.01,1
Vicia_cracca,A06,0.02,0.035,0
Alopecurus_pratensis,A07,0.01,0.028,1
Anthoxanthum_odoratum,A07,0,0.001,0
Briza_media,A07,0.1,0.215,1
Bromus_hordeaceus,A07,0.01,0.015,1
Campanula_patula,A07,0,0.002,1
Campanula_rotundifolia,A07,0.02,0.04,1
Crepis_biennis,A07,0,0,1
Geranium_pratense,A07,0.05,0.1,0
Leontodon_hispidus,A07,0,0.007,0
Leucanthemum_vulgare,A07,0.06,0.121,1
Medicago_lupulina,A07,0,0.004,0
Onobrychis_viciifolia,A07,0.07,0.146,1
Phleum_pratense,A07,0.02,0.041,0
Plantago_media,A07,0.05,0.109,1
Ranunculus_acris,A07,0,0.008,1
Ranunculus_bulbosus,A07,0.08,0.164,1
Saxifraga_granulata,A07,0,0,0
Silene_dioica,A07,0,0,1
Veronica_chamaedrys,A07,0,0.001,0
Vicia_sepium,A07,0,0,0
Agrostis_capillaris,A08,0,0.008,1
Briza_media,A08,0.03,0.064,1
Campanula_glomerata,A08,0.03,0.058,1
Crepis_biennis,A08,0.01,0.011,1
Cynosurus_cristatus,A08,0.02,0.05,1
Daucus_carota,A08,0.02,0.048,1
Festuca_rubra,A08,0.05,0.109,0
Helictotrichon_pubescens,A08,0.03,0.068,0
Luzula_campestris,A08,0,0.007,0
Medicago_lupulina,A08,0.01,0.014,0
Onobrychis_viciifolia,A08,0.06,0.117,1
Plantago_lanceolata,A08,0.03,0.056,1
Plantago_media,A08,0.02,0.05,1
Primula_veris,A08,0.08,0.161,0
Prunella_vulgaris,A08,0.01,0.012,1
Ranunculus_acris,A08,0.02,0.033,1
Ranunculus_bulbosus,A08,0.05,0.096,1
Silene_dioica,A08,0,0.007,0
Veronica_chamaedrys,A08,0.01,0.012,1
Vicia_cracca,A08,0.01,0.019,0
Anthoxanthum_odoratum,A09,0.01,0.024,0
Briza_media,A09,0.05,0.099,0
Bromus_erectus,A09,0.1,0.213,0
Campanula_patula,A09,0.02,0.047,1
Campanula_rotundifolia,A09,0.03,0.07,1
Daucus_carota,A09,0.02,0.041,1
Helictotrichon_pubescens,A09,0.02,0.051,0
Leontodon_hispidus,A09,0.01,0.026,1
Medicago_lupulina,A09,0.01,0.029,0
Onobrychis_viciifolia,A09,0.03,0.058,1
Phleum_pratense,A09,0.03,0.063,0
Plantago_media,A09,0.03,0.065,1
Ranunculus_acris,A09,0.01,0.023,1
Ranunculus_bulbosus,A09,0.02,0.049,1
Saxifraga_granulata,A09,0.01,0.024,0
Silene_dioica,A09,0,0.01,0
Thymus_pulegioides,A09,0.02,0.032,1
Tragopogon_pratensis,A09,0.02,0.045,0
Veronica_chamaedrys,A09,0.01,0.019,1
Vicia_cracca,A09,0.01,0.013,0
Achillea_millefolium,A10,0,0.002,1
Alopecurus_pratensis,A10,0.03,0.07,1
Briza_media,A10,0.03,0.067,1
Campanula_glomerata,A10,0.06,0.124,1
Crepis_biennis,A10,0.01,0.019,1
Cynosurus_cristatus,A10,0.06,0.122,1
Daucus_carota,A10,0,0.006,0
Galium_album,A10,0,0.003,0
Luzula_campestris,A10,0,0,0
Onobrychis_viciifolia,A10,0.03,0.071,0
Phleum_pratense,A10,0.07,0.14,0
Plantago_media,A10,0,0.009,1
Primula_veris,A10,0.06,0.122,0
Saxifraga_granulata,A10,0,0,0
Silene_flos-cuculi,A10,0,0.005,1
Thymus_pulegioides,A10,0,0.006,1
Tragopogon_pratensis,A10,0.07,0.152,1
Trisetum_flavescens,A10,0.02,0.052,0
Vicia_cracca,A10,0,0.008,0
Vicia_sepium,A10,0.01,0.021,0
Alopecurus_pratensis,A11,0.02,0.052,1
Anthoxanthum_odoratum,A11,0.01,0.026,0
Bromus_erectus,A11,0.09,0.194,0
Crepis_biennis,A11,0.01,0.016,0
Festuca_rubra,A11,0.02,0.041,0
Geranium_pratense,A11,0.03,0.062,0
Hypochaeris_radicata,A11,0,0.004,1
Leucanthemum_vulgare,A11,0.01,0.03,1
Luzula_campestris,A11,0,0.001,0
Medicago_lupulina,A11,0.04,0.074,0
Onobrychis_viciifolia,A11,0.01,0.021,0
Plantago_lanceolata,A11,0.01,0.018,1
Plantago_media,A11,0.03,0.062,1
Poa_angustifolia,A11,0.07,0.137,1
Ranunculus_acris,A11,0.01,0.02,1
Ranunculus_bulbosus,A11,0.01,0.028,1
Silene_dioica,A11,0.03,0.069,1
Thymus_pulegioides,A11,0.04,0.077,1
Veronica_chamaedrys,A11,0.03,0.063,1
Vicia_cracca,A11,0,0.005,0
Agrostis_capillaris,A12,0.02,0.039,1
Alopecurus_pratensis,A12,0.03,0.065,0
Bromus_erectus,A12,0.1,0.206,0
Campanula_glomerata,A12,0.02,0.051,1
Campanula_patula,A12,0.01,0.03,1
Crepis_biennis,A12,0.02,0.033,0
Cynosurus_cristatus,A12,0.03,0.067,1
Daucus_carota,A12,0.02,0.035,1
Leontodon_hispidus,A12,0.02,0.035,1
Leucanthemum_vulgare,A12,0.01,0.03,1
Medicago_lupulina,A12,0.01,0.021,1
Onobrychis_viciifolia,A12,0.02,0.048,1
Plantago_lanceolata,A12,0.02,0.041,1
Poa_angustifolia,A12,0.03,0.073,1
Primula_veris,A12,0.03,0.061,0
Prunella_vulgaris,A12,0.02,0.032,1
Ranunculus_acris,A12,0.02,0.039,1
Silene_dioica,A12,0.02,0.033,1
Thymus_pulegioides,A12,0.01,0.029,1
Vicia_cracca,A12,0.01,0.03,0
Achillea_millefolium,A13,0,0,1
Anthoxanthum_odoratum,A13,0,0.004,0
Campanula_glomerata,A13,0.08,0.166,1
Cardamine_pratensis,A13,0,0,0
Crepis_biennis,A13,0,0.001,1
Cynosurus_cristatus,A13,0.05,0.114,0
Galium_album,A13,0,0,1
Helictotrichon_pubescens,A13,0.13,0.269,0
Onobrychis_viciifolia,A13,0.02,0.048,1
Phleum_pratense,A13,0.07,0.145,0
Plantago_lanceolata,A13,0,0.001,1
Plantago_media,A13,0,0.002,1
Primula_veris,A13,0.05,0.097,0
Silene_dioica,A13,0.03,0.059,1
Thymus_pulegioides,A13,0,0.001,1
Tragopogon_pratensis,A13,0.01,0.019,0
Trisetum_flavescens,A13,0.03,0.069,1
Veronica_chamaedrys,A13,0,0.003,1
Vicia_cracca,A13,0,0.001,0
Vicia_sepium,A13,0,0.001,0
Agrostis_capillaris,A14,0.03,0.057,1
Bromus_erectus,A14,0.12,0.253,1
Campanula_glomerata,A14,0.07,0.146,1
Cardamine_pratensis,A14,0,0.003,0
Crepis_biennis,A14,0.01,0.011,0
Festuca_rubra,A14,0.01,0.027,0
Leucanthemum_vulgare,A14,0,0.003,1
Onobrychis_viciifolia,A14,0.01,0.017,0
Phleum_pratense,A14,0.1,0.21,0
Plantago_lanceolata,A14,0,0.003,0
Plantago_media,A14,0,0.008,0
Poa_angustifolia,A14,0.03,0.053,0
Prunella_vulgaris,A14,0.02,0.042,1
Ranunculus_bulbosus,A14,0,0.004,0
Saxifraga_granulata,A14,0.01,0.017,0
Silene_dioica,A14,0.04,0.093,1
Silene_flos-cuculi,A14,0.01,0.016,1
Tragopogon_pratensis,A14,0,0.004,0
Vicia_cracca,A14,0,0.01,0
Vicia_sepium,A14,0.01,0.023,0
Achillea_millefolium,A15,0.01,0.012,1
Anthoxanthum_odoratum,A15,0.03,0.059,1
Briza_media,A15,0.06,0.133,1
Bromus_erectus,A15,0.12,0.259,0
Campanula_patula,A15,0.06,0.12,1
Campanula_rotundifolia,A15,0.01,0.021,1
Daucus_carota,A15,0,0.006,1
Festuca_rubra,A15,0.02,0.043,0
Helictotrichon_pubescens,A15,0.05,0.106,0
Leucanthemum_vulgare,A15,0,0.007,1
Medicago_lupulina,A15,0.02,0.035,0
Onobrychis_viciifolia,A15,0.01,0.01,0
Primula_veris,A15,0.02,0.035,0
Prunella_vulgaris,A15,0.02,0.031,1
Ranunculus_acris,A15,0,0.008,0
Silene_dioica,A15,0.02,0.047,1
Silene_flos-cuculi,A15,0.01,0.017,1
Thymus_pulegioides,A15,0.01,0.021,0
Veronica_chamaedrys,A15,0.01,0.025,1
Vicia_cracca,A15,0,0.004,0
Achillea_millefolium,A16,0,0,1
Anthoxanthum_odoratum,A16,0,0,0
Briza_media,A16,0.17,0.357,1
Bromus_hordeaceus,A16,0,0.008,0
Campanula_patula,A16,0.05,0.1,1
Campanula_rotundifolia,A16,0,0,1
Cardamine_pratensis,A16,0,0,1
Cynosurus_cristatus,A16,0.11,0.235,0
Daucus_carota,A16,0,0,1
Festuca_rubra,A16,0,0,0
Galium_album,A16,0,0,1
Geranium_pratense,A16,0.12,0.25,1
Luzula_campestris,A16,0,0,0
Medicago_lupulina,A16,0.02,0.05,0
Prunella_vulgaris,A16,0,0,1
Ranunculus_bulbosus,A16,0,0,0
Saxifraga_granulata,A16,0,0,0
Veronica_chamaedrys,A16,0,0,1
Vicia_cracca,A16,0,0,0
Vicia_sepium,A16,0,0,0
Alopecurus_pratensis,Ae1,0.01,0.031,1
Anthoxanthum_odoratum,Ae1,0,0.01,0
Briza_media,Ae1,0.03,0.071,0
Campanula_rotundifolia,Ae1,0.04,0.079,1
Cynosurus_cristatus,Ae1,0.02,0.045,1
Festuca_rubra,Ae1,0.07,0.143,0
Galium_album,Ae1,0.01,0.02,1
Geranium_pratense,Ae1,0.03,0.06,0
Hypochaeris_radicata,Ae1,0,0.001,1
Onobrychis_viciifolia,Ae1,0.06,0.13,0
Primula_veris,Ae1,0.1,0.203,0
Prunella_vulgaris,Ae1,0,0.008,0
Ranunculus_acris,Ae1,0.01,0.027,1
Saxifraga_granulata,Ae1,0.01,0.015,0
Silene_dioica,Ae1,0,0.003,1
Silene_flos-cuculi,Ae1,0.01,0.027,1
Thymus_pulegioides,Ae1,0.01,0.023,1
Tragopogon_pratensis,Ae1,0.04,0.084,1
Vicia_cracca,Ae1,0.01,0.018,0
Vicia_sepium,Ae1,0,0.002,0
Achillea_millefolium,Ae2,0.06,0.124,1
Agrostis_capillaris,Ae2,0.03,0.071,1
Alopecurus_pratensis,Ae2,0.02,0.049,1
Bromus_erectus,Ae2,0.06,0.129,0
Bromus_hordeaceus,Ae2,0.01,0.015,0
Campanula_glomerata,Ae2,0.01,0.03,1
Campanula_patula,Ae2,0,0.008,0
Cardamine_pratensis,Ae2,0.05,0.106,1
Geranium_pratense,Ae2,0.01,0.019,0
Helictotrichon_pubescens,Ae2,0.02,0.035,0
Hypochaeris_radicata,Ae2,0,0.002,1
Medicago_lupulina,Ae2,0.01,0.015,1
Onobrychis_viciifolia,Ae2,0.06,0.132,1
Primula_veris,Ae2,0.05,0.1,0
Prunella_vulgaris,Ae2,0,0.003,1
Ranunculus_bulbosus,Ae2,0.03,0.07,0
Thymus_pulegioides,Ae2,0.01,0.018,1
Tragopogon_pratensis,Ae2,0.03,0.063,0
Veronica_chamaedrys,Ae2,0,0.007,0
Vicia_sepium,Ae2,0,0.003,0
Campanula_rotundifolia,Ae3,0,0.006,1
Cardamine_pratensis,Ae3,0,0,0
Crepis_biennis,Ae3,0,0,1
Festuca_rubra,Ae3,0,0,0
Galium_album,Ae3,0,0,1
Geranium_pratense,Ae3,0.07,0.148,1
Helictotrichon_pubescens,Ae3,0,0.004,0
Hypochaeris_radicata,Ae3,0,0,1
Leucanthemum_vulgare,Ae3,0,0,1
Medicago_lupulina,Ae3,0.02,0.05,0
Onobrychis_viciifolia,Ae3,0,0,0
Phleum_pratense,Ae3,0.27,0.565,0
Plantago_lanceolata,Ae3,0,0,1
Poa_angustifolia,Ae3,0,0,0
Primula_veris,Ae3,0.06,0.135,0
Ranunculus_acris,Ae3,0,0,0
Silene_flos-cuculi,Ae3,0,0.004,1
Thymus_pulegioides,Ae3,0.03,0.057,1
Trisetum_flavescens,Ae3,0.01,0.031,0
Vicia_cracca,Ae3,0,0,1
Achillea_millefolium,Ae4,0.01,0.013,1
Alopecurus_pratensis,Ae4,0.03,0.064,1
Bromus_erectus,Ae4,0.12,0.26,1
Campanula_patula,Ae4,0.08,0.171,1
Cardamine_pratensis,Ae4,0,0.007,1
Daucus_carota,Ae4,0,0.007,0
Galium_album,Ae4,0,0.009,1
Helictotrichon_pubescens,Ae4,0.04,0.092,1
Leontodon_hispidus,Ae4,0.01,0.029,1
Leucanthemum_vulgare,Ae4,0,0.008,1
Onobrychis_viciifolia,Ae4,0.01,0.024,0
Phleum_pratense,Ae4,0.06,0.131,0
Plantago_lanceolata,Ae4,0,0.007,1
Poa_angustifolia,Ae4,0.03,0.053,1
Prunella_vulgaris,Ae4,0.03,0.062,1
Ranunculus_acris,Ae4,0.01,0.012,0
Saxifraga_granulata,Ae4,0.01,0.012,0
Tragopogon_pratensis,Ae4,0.01,0.013,0
Vicia_cracca,Ae4,0,0.01,0
Vicia_sepium,Ae4,0.01,0.016,0
Achillea_millefolium,B01,0.0048,0.002,1
Agrostis_capillaris,B01,0.12,0.05,1
Centaurea_jacea,B01,0.0048,0.002,1
Daucus_carota,B01,0.0024,0.001,1
Festuca_rubra,B01,1.08,0.45,1
Festuca_trachyphylla,B01,0.7992,0.333,1
Galium_verum,B01,0.0024,0.001,1
Leontodon_hispidus,B01,0.0024,0.001,1
Leucanthemum_vulgare,B01,0.0072,0.003,1
Lolium_perenne,B01,0.12,0.05,1
Lotus_corniculatus,B01,0.0048,0.002,1
Medicago_lupulina,B01,0.0024,0.001,0
Pimpinella_saxifraga,B01,0.0024,0.001,0
Plantago_lanceolata,B01,0.0024,0.001,1
Poa_pratensis,B01,0.24,0.1,1
Sanguisorba_minor,B01,0.0024,0.001,1
Achillea_millefolium,B02,0.0048,0.002,1
Agrostis_capillaris,B02,0.12,0.05,1
Centaurea_jacea,B02,0.0048,0.002,1
Daucus_carota,B02,0.0024,0.001,1
Festuca_rubra,B02,1.08,0.45,1
Festuca_trachyphylla,B02,0.7992,0.333,1
Galium_verum,B02,0.0024,0.001,1
Leontodon_hispidus,B02,0.0024,0.001,1
Leucanthemum_vulgare,B02,0.0072,0.003,1
Lolium_perenne,B02,0.12,0.05,1
Lotus_corniculatus,B02,0.0048,0.002,1
Medicago_lupulina,B02,0.0024,0.001,1
Pimpinella_saxifraga,B02,0.0024,0.001,0
Plantago_lanceolata,B02,0.0024,0.001,1
Poa_pratensis,B02,0.24,0.1,1
Sanguisorba_minor,B02,0.0024,0.001,0
Achillea_millefolium,B03,0.0048,0.002,1
Agrostis_capillaris,B03,0.12,0.05,1
Centaurea_jacea,B03,0.0048,0.002,0
Daucus_carota,B03,0.0024,0.001,1
Festuca_rubra,B03,1.08,0.45,1
Festuca_trachyphylla,B03,0.7992,0.333,1
Galium_verum,B03,0.0024,0.001,1
Leontodon_hispidus,B03,0.0024,0.001,0
Leucanthemum_vulgare,B03,0.0072,0.003,1
Lolium_perenne,B03,0.12,0.05,1
Lotus_corniculatus,B03,0.0048,0.002,1
Medicago_lupulina,B03,0.0024,0.001,0
Pimpinella_saxifraga,B03,0.0024,0.001,0
Plantago_lanceolata,B03,0.0024,0.001,1
Poa_pratensis,B03,0.24,0.1,1
Sanguisorba_minor,B03,0.0024,0.001,0
Achillea_millefolium,B04,0.0048,0.002,1
Agrostis_capillaris,B04,0.12,0.05,1
Centaurea_jacea,B04,0.0048,0.002,0
Daucus_carota,B04,0.0024,0.001,0
Festuca_rubra,B04,1.08,0.45,1
Festuca_trachyphylla,B04,0.7992,0.333,1
Galium_verum,B04,0.0024,0.001,1
Leontodon_hispidus,B04,0.0024,0.001,0
Leucanthemum_vulgare,B04,0.0072,0.003,1
Lolium_perenne,B04,0.12,0.05,1
Lotus_corniculatus,B04,0.0048,0.002,1
Medicago_lupulina,B04,0.0024,0.001,0
Pimpinella_saxifraga,B04,0.0024,0.001,0
Plantago_lanceolata,B04,0.0024,0.001,1
Poa_pratensis,B04,0.24,0.1,1
Sanguisorba_minor,B04,0.0024,0.001,0
Achillea_millefolium,B05,0.02,0.041,1
Bromus_hordeaceus,B05,0.02,0.039,1
Campanula_glomerata,B05,0.02,0.045,1
Campanula_rotundifolia,B05,0.01,0.029,1
Festuca_rubra,B05,0.04,0.081,0
Geranium_pratense,B05,0.06,0.118,1
Helictotrichon_pubescens,B05,0.02,0.05,0
Hypochaeris_radicata,B05,0,0.005,1
Leucanthemum_vulgare,B05,0.02,0.047,1
Luzula_campestris,B05,0.01,0.019,0
Medicago_lupulina,B05,0.01,0.017,0
Onobrychis_viciifolia,B05,0.05,0.106,0
Phleum_pratense,B05,0.01,0.03,0
Poa_angustifolia,B05,0.05,0.1,1
Primula_veris,B05,0.05,0.11,0
Ranunculus_acris,B05,0.02,0.036,1
Ranunculus_bulbosus,B05,0.04,0.078,1
Saxifraga_granulata,B05,0,0.009,0
Veronica_chamaedrys,B05,0.01,0.012,1
Vicia_cracca,B05,0.01,0.027,0
Achillea_millefolium,B06,0.03,0.057,1
Anthoxanthum_odoratum,B06,0.01,0.02,1
Bromus_erectus,B06,0.07,0.14,1
Cardamine_pratensis,B06,0.02,0.038,1
Crepis_biennis,B06,0.01,0.028,0
Festuca_rubra,B06,0.02,0.036,0
Hypochaeris_radicata,B06,0.01,0.011,1
Leucanthemum_vulgare,B06,0.02,0.04,1
Luzula_campestris,B06,0,0.008,0
Onobrychis_viciifolia,B06,0.05,0.096,1
Plantago_media,B06,0.03,0.054,1
Poa_angustifolia,B06,0.03,0.057,1
Primula_veris,B06,0.06,0.128,0
Prunella_vulgaris,B06,0.02,0.043,1
Ranunculus_acris,B06,0.02,0.04,1
Ranunculus_bulbosus,B06,0.03,0.06,1
Silene_flos-cuculi,B06,0.02,0.044,1
Trisetum_flavescens,B06,0.02,0.047,0
Vicia_cracca,B06,0.02,0.033,0
Vicia_sepium,B06,0.01,0.021,0
Achillea_millefolium,B07,0.04,0.08,1
Briza_media,B07,0.02,0.031,0
Bromus_erectus,B07,0.06,0.134,1
Bromus_hordeaceus,B07,0,0.008,1
Campanula_patula,B07,0,0.007,1
Campanula_rotundifolia,B07,0.02,0.047,1
Crepis_biennis,B07,0,0.005,0
Festuca_rubra,B07,0.04,0.089,1
Galium_album,B07,0.01,0.018,1
Hypochaeris_radicata,B07,0,0.001,0
Luzula_campestris,B07,0.01,0.015,0
Medicago_lupulina,B07,0.03,0.064,1
Plantago_lanceolata,B07,0.03,0.058,1
Plantago_media,B07,0.03,0.064,1
Primula_veris,B07,0.07,0.153,0
Prunella_vulgaris,B07,0,0.005,0
Tragopogon_pratensis,B07,0.05,0.097,1
Trisetum_flavescens,B07,0.02,0.038,0
Vicia_cracca,B07,0.04,0.077,0
Vicia_sepium,B07,0,0.009,0
Alopecurus_pratensis,B08,0,0,0
Briza_media,B08,0.09,0.187,1
Bromus_hordeaceus,B08,0,0.008,0
Campanula_patula,B08,0.01,0.016,1
Cardamine_pratensis,B08,0,0,1
Cynosurus_cristatus,B08,0.03,0.068,1
Hypochaeris_radicata,B08,0,0,1
Leontodon_hispidus,B08,0.01,0.013,0
Leucanthemum_vulgare,B08,0,0,0
Medicago_lupulina,B08,0.01,0.012,0
Onobrychis_viciifolia,B08,0.07,0.138,1
Phleum_pratense,B08,0.02,0.037,0
Plantago_media,B08,0.12,0.253,1
Prunella_vulgaris,B08,0,0.002,1
Ranunculus_bulbosus,B08,0.09,0.179,1
Saxifraga_granulata,B08,0,0,0
Silene_dioica,B08,0,0,1
Silene_flos-cuculi,B08,0,0,1
Tragopogon_pratensis,B08,0.04,0.086,1
Vicia_cracca,B08,0,0,0
Achillea_millefolium,B09,0.03,0.061,1
Anthoxanthum_odoratum,B09,0.01,0.02,1
Bromus_erectus,B09,0.08,0.174,1
Bromus_hordeaceus,B09,0.02,0.047,1
Cynosurus_cristatus,B09,0.04,0.091,0
Daucus_carota,B09,0,0.01,0
Galium_album,B09,0.01,0.012,1
Geranium_pratense,B09,0.02,0.037,0
Hypochaeris_radicata,B09,0,0.002,1
Leontodon_hispidus,B09,0.01,0.031,1
Leucanthemum_vulgare,B09,0.01,0.02,1
Luzula_campestris,B09,0,0,0
Onobrychis_viciifolia,B09,0.04,0.075,1
Phleum_pratense,B09,0.06,0.118,0
Primula_veris,B09,0.06,0.128,0
Ranunculus_acris,B09,0,0.009,1
Saxifraga_granulata,B09,0.03,0.06,0
Thymus_pulegioides,B09,0.04,0.081,1
Vicia_cracca,B09,0.01,0.015,0
Vicia_sepium,B09,0,0.01,0
Achillea_millefolium,B10,0.01,0.029,1
Alopecurus_pratensis,B10,0.02,0.044,0
Briza_media,B10,0.06,0.117,0
Bromus_hordeaceus,B10,0.04,0.082,1
Campanula_glomerata,B10,0.06,0.122,1
Cardamine_pratensis,B10,0.01,0.026,1
Crepis_biennis,B10,0,0.004,0
Cynosurus_cristatus,B10,0.04,0.091,1
Festuca_rubra,B10,0.06,0.116,0
Galium_album,B10,0,0.006,1
Geranium_pratense,B10,0.07,0.153,0
Leontodon_hispidus,B10,0.01,0.023,1
Leucanthemum_vulgare,B10,0.01,0.027,1
Medicago_lupulina,B10,0.01,0.024,0
Onobrychis_viciifolia,B10,0.03,0.071,1
Plantago_media,B10,0.02,0.041,1
Saxifraga_granulata,B10,0,0.002,0
Silene_flos-cuculi,B10,0.01,0.012,1
Veronica_chamaedrys,B10,0,0.007,1
Vicia_cracca,B10,0,0.005,0
Briza_media,B11,0.04,0.076,0
Bromus_hordeaceus,B11,0.04,0.074,1
Campanula_glomerata,B11,0.05,0.098,1
Campanula_rotundifolia,B11,0.01,0.029,1
Cardamine_pratensis,B11,0.02,0.033,1
Crepis_biennis,B11,0.01,0.011,1
Cynosurus_cristatus,B11,0.03,0.069,0
Geranium_pratense,B11,0.07,0.155,0
Helictotrichon_pubescens,B11,0.04,0.086,1
Luzula_campestris,B11,0,0.002,0
Medicago_lupulina,B11,0.01,0.024,0
Onobrychis_viciifolia,B11,0.03,0.066,0
Plantago_lanceolata,B11,0.02,0.037,1
Poa_angustifolia,B11,0.07,0.145,1
Prunella_vulgaris,B11,0.01,0.021,1
Ranunculus_acris,B11,0.01,0.027,1
Saxifraga_granulata,B11,0,0.006,0
Thymus_pulegioides,B11,0.01,0.018,1
Veronica_chamaedrys,B11,0.01,0.014,1
Vicia_cracca,B11,0,0.01,0
Achillea_millefolium,B12,0.01,0.028,1
Briza_media,B12,0.04,0.09,0
Campanula_glomerata,B12,0.05,0.106,1
Campanula_patula,B12,0.01,0.028,1
Cardamine_pratensis,B12,0.01,0.025,0
Crepis_biennis,B12,0,0.007,1
Festuca_rubra,B12,0.05,0.094,0
Geranium_pratense,B12,0.06,0.12,0
Helictotrichon_pubescens,B12,0.05,0.094,1
Hypochaeris_radicata,B12,0,0.001,0
Luzula_campestris,B12,0,0.001,0
Medicago_lupulina,B12,0.01,0.029,0
Onobrychis_viciifolia,B12,0.03,0.068,0
Phleum_pratense,B12,0.03,0.069,0
Ranunculus_bulbosus,B12,0.02,0.047,0
Silene_dioica,B12,0.01,0.011,1
